UMLS CUI [1],UMLS subject label,UMLS Predicate [2],UMLS CUI,UMLS object label,Confidence
C0025517,Metabolic Diseases,PREDISPOSES,C0007131,Non-Small Cell Lung Carcinoma,0.84
C0012634,Disease,PROCESS_OF,C0025266,Male population group,0.80
C0012634,Disease,PROCESS_OF,C0086418,Homo sapiens,0.89
C0012634,Disease,PROCESS_OF,C0009932,Control Groups,0.82
C0012634,Disease,PROCESS_OF,C2827983,Clinical Trial Site,0.92
C0012634,Disease,PROCESS_OF,C0030705,Patients,0.89
C0012634,Disease,AFFECTS,C0684312,Drivers of Vehicles,0.82
C0012634,Disease,PREDISPOSES,C0459867,New relationship,0.90
C0012634,Disease,CAUSES,C0011065,Cessation of life,0.93
C0042769,Virus Diseases,PROCESS_OF,C0030705,Patients,0.95
C0042769,Virus Diseases,PROCESS_OF,C0009932,Control Groups,0.95
C0042769,Virus Diseases,COEXISTS_WITH,C0806692,lymph node involvement,0.87
C0042769,Virus Diseases,AFFECTS,C0596263,Carcinogenesis,0.89
C0004626,"Pneumonia, Bacterial",PROCESS_OF,C0599755,cohort,0.81
C0085786,Hamman-Rich syndrome,PROCESS_OF,C0030705,Patients,1.00
C0022972,Lambert-Eaton Myasthenic Syndrome,PROCESS_OF,C0030705,Patients,1.00
C0751950,Neuromuscular Junction Diseases,PROCESS_OF,C0030705,Patients,1.00
C0020676,Hypothyroidism,PROCESS_OF,C0030705,Patients,1.00
C0039082,Syndrome,ISA,C1457887,Symptoms,0.94
C0015230,Exanthema,OCCURS_IN,C0030705,Patients,0.91
C0079731,B-Cell Lymphomas,PROCESS_OF,C0030705,Patients,0.92
C0206754,Neuroendocrine Tumors,PART_OF,C0024109,Lung,1.00
C0206754,Neuroendocrine Tumors,PROCESS_OF,C0030705,Patients,0.95
C0007137,Squamous cell carcinoma,PART_OF,C1516966,Esophageal Tissue,0.95
C0007137,Squamous cell carcinoma,PART_OF,C0178784,Organ,0.89
C0007137,Squamous cell carcinoma,PART_OF,C0003461,Anus,1.00
C0007137,Squamous cell carcinoma,PART_OF,C0024109,Lung,0.88
C0007137,Squamous cell carcinoma,ISA,C0677930,primary tumor,0.89
C0007137,Squamous cell carcinoma,ISA,C0006826,Malignant Neoplasms,0.86
C0007137,Squamous cell carcinoma,ISA,C0011900,Diagnosis,1.00
C0007137,Squamous cell carcinoma,PROCESS_OF,C0030705,Patients,0.93
C0007137,Squamous cell carcinoma,PROCESS_OF,C2986511,Evaluable Patient,0.95
C0007137,Squamous cell carcinoma,PRODUCES,C1332017,ADAM15 gene,0.89
C0007137,Squamous cell carcinoma,OCCURS_IN,C0030705,Patients,1.00
C0085110,Severe Combined Immunodeficiency,PROCESS_OF,C0085112,SCID Mice,0.93
C0376544,Hematopoietic Neoplasms,COEXISTS_WITH,C0001418,Adenocarcinoma,0.87
C0376544,Hematopoietic Neoplasms,PROCESS_OF,C0205653,Adolescent (age group),1.00
C0376544,Hematopoietic Neoplasms,COEXISTS_WITH,C0006142,Malignant neoplasm of breast,0.93
C0376544,Hematopoietic Neoplasms,PROCESS_OF,C0008059,Child,1.00
C0376544,Hematopoietic Neoplasms,PROCESS_OF,C0086418,Homo sapiens,0.86
C0685938,Malignant neoplasm of gastrointestinal tract,PROCESS_OF,C0030705,Patients,0.93
C0685938,Malignant neoplasm of gastrointestinal tract,PART_OF,C1185740,Tract,0.92
C0004238,Atrial Fibrillation,PROCESS_OF,C0030705,Patients,1.00
C0024115,Lung diseases,PROCESS_OF,C0030705,Patients,0.91
C0024115,Lung diseases,PROCESS_OF,C0027361,Persons,0.93
C0024115,Lung diseases,ISA,C0877248,Adverse event,0.87
C0024115,Lung diseases,PROCESS_OF,C1265234,Nontuberculous Mycobacteria,0.90
C0024115,Lung diseases,COEXISTS_WITH,C0442872,Multiple cysts,1.00
C0018802,Congestive heart failure,CAUSES,C0340548,Pulmonary capillary hemangiomatosis,1.00
C0018802,Congestive heart failure,PROCESS_OF,C0030705,Patients,0.91
C0042384,Vasculitis,ISA,C0021053,Immune System Diseases,1.00
C0442874,Neuropathy,PROCESS_OF,C0030705,Patients,1.00
C0566602,Primary sclerosing cholangitis,PROCESS_OF,C0030705,Patients,0.94
C0010278,Craniosynostosis,PROCESS_OF,C0030705,Patients,0.94
C0010278,Craniosynostosis,TREATS,C0030705,Patients,0.90
C0018784,Sensorineural Hearing Loss (disorder),PROCESS_OF,C0030705,Patients,1.00
C0242172,Pelvic Inflammatory Disease,PROCESS_OF,C0030705,Patients,1.00
