UMLS CUI,UMLS subject label,Custom predicate,Article PubMed ID,Article Title,Confidence
C1301771,Relieved (qualifier value),MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,79"
C0028661,Nurses,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,93"
C1522486,Professional Organization or Group,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C0332149,Possible,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,95"
C0439849,Relationships,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C1285530,Palliative,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,93"
C1555015,HTTP,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C1306673,Stage,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,82"
C0007836,Certification,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C0030705,Patients,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C0087111,Therapeutic procedure,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C0150446,Advocacy,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,94"
C0035168,research,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,93"
C0282116,Collaboration,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,90"
C0030231,Palliative Care,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,93"
C0027552,Needs,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,93"
C0012634,Disease,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,94"
C0023181,Leadership,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,93"
C0013621,Knowledge acquisition,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,94"
C0015576,Family,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"1,00"
C0205549,Series,MENTIONED_IN,28837496,Palliative Care in the Acute Care Setting.,"0,98"
C1514562,Protein Domain,MENTIONED_IN,28817800,TIA1 Mutations in Amyotrophic Lateral Sclerosis and Frontotemporal Dementia Promote Phase Separation and Alter Stress Granule Dynamics.,"0,96"
