Article PubMed ID [3],Article Title,Custom predicate,UMLS CUI,UMLS object label,Confidence
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0031149,Peritoneal Neoplasms,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0025500,Mesothelioma,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0086582,Males,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0242379,Malignant neoplasm of lung,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0024121,Lung Neoplasms,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0086418,Homo sapiens,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0005558,Biopsy,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0041366,"Biomarkers, Tumor",1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0041365,Tumor Markers,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0004398,Autopsy,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0003962,Ascites,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0028829,Octogenarians,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0028296,Nonagenarians,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0007667,Centenarians,1
28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,HAS_MESH,C0001795,"Aged, 80 and over",1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0042537,Vermont,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0701782,Aerosil,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0701781,Quso G-32,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0037098,Silicon Dioxide,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0034980,Regression Analysis,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0028798,Occupational Exposure,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0028797,Occupational Diseases,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0205847,Middle Aged,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0026062,Middle Age,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0086582,Males,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0242379,Malignant neoplasm of lung,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0024121,Lung Neoplasms,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0086418,Homo sapiens,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0086287,Females,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0086027,"Analysis, Cohort",1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0021150,Incidence Studies,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0009248,Historical Cohort Studies,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0009247,Cohort Studies,1
27821675,Lung-cancer mortality among Vermont granite workers: factors influencing exposure-response evaluation.,HAS_MESH,C0009040,Closed Cohort Studies,1
