UMLS CUI,UMLS subject label,Custom predicate,Article PubMed ID,Article Title,Confidence
C1881134,Image Study,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.97
C1281182,Entire gastrointestinal tract,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.84
C0334277,"Adenocarcinoma, metastatic",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0439751,Entire,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.89
C1096618,peritoneal lesion,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0031831,Physicians,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0750325,"Vomiting, recurrent",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0030274,Pancreas,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0205453,Seven,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.78
C1829728,Cytokeratin 5+6,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.91
C0014869,Peptic Esophagitis,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.84
C0750558,Unlikely,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0521114,Infrequent,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.69
C0280457,"site, metastatic cancer",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.80
C0439844,Covered (qualifier value),MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.78
C0067430,"N-(1-oxyl-2,2,5,5-tetramethyl-3-pyrrolidinyl)maleimide",MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.87
C0020196,Hyaluronic Acid,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0235886,Leg edema,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.90
C1704332,Cluster,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0523207,Hematoxylin and eosin stain method,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.86
C0010820,Cellular aspects of,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C0198536,Laparoscopy with biopsy,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,1.00
C1304714,Adenosine deaminase level,MENTIONED_IN,28381756,A Rare Case of Biphasic Malignant Peritoneal Mesothelioma with Refractory Ascites.,0.79
